Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Удовиченко,Богуслава,Андріївна,Жіноча,20.09.1959,Юрист,хутір Збараж,"шосе Байкальська, буд. 06, Калуш, 63057",233 80 26,jdevdiuk@example.net
Адаменко,Олена,Сергіївна,Жіноча,14.04.1978,Льотчик,село Бровари,"проспект Жевахова, буд. 5, Селидове, 79253",237 21 40,neporozhniiklavdiia@example.com
Корпанюк,Камілла,Дмитрівна,Жіноча,28.05.1984,Патологоанатом,селище Добропілля,"вулиця Лінія 32-га, буд. 3 кв. 6, Соледар, 39229",+380 20 336 14 04,rierchenko@example.net
Жук,Єва,Сергіївна,Жіноча,29.05.1979,Золотар,селище Гірське,"парк Леваневського, буд. 873, Сніжне, 74383",031 119-70-47,wlutsenko@example.org
Верменич,Розалія,Сергіївна,Жіноча,16.07.1987,Прокурор,місто Бердичів,"узвіз Висоцького, буд. 8, Татарбунари, 74877",+380 01 934-70-83,khoma30@example.com
Євтушок,Еріка,Володимирівна,Жіноча,09.05.1966,Літературознавець,місто Носівка,"узвіз Академіка Корольова, буд. 4, Білопілля, 74826",958-33-79,amvrosiivashchenko-zakharchenko@example.net
Масляк,Ада,Дмитрівна,Жіноча,31.07.2004,Клавішник,село Покров,"шосе Пестеля, буд. 82, Ладижин, 38281",077 557-45-82,iustymvyshyvanyi@example.org
Ґереґа,Володимира,Михайлівна,Жіноча,12.06.1961,Фермер,місто Ніжин,"шосе Маршала Малиновського, буд. 12 кв. 46, Христинівка, 89606",224 41 73,boleslav81@example.org
Гавришкевич,Любов,Андріївна,Жіноча,21.03.2007,Дерун,село Моршин,"парк Азовський, буд. 67, Бориспіль, 75603",005 633-96-37,orkhypchaika@example.org
Зарудний,Галина,Володимирівна,Жіноча,18.03.1999,Кухар,хутір Тячів,"парк Проектований 3-й, буд. 36, Приморськ (Україна), 41948",043 237-54-35,panas28@example.com
Дерегус,Емілія,Петрівна,Жіноча,22.03.2002,Музикант,хутір Семенівка,"набережна Басейний 1-й, буд. 3 кв. 89, Пустомити, 88996",+380 (64) 917-87-28,lesdevdiuk@example.net
Шахрай,Анжела,Дмитрівна,Жіноча,07.01.1991,Соціолог,селище Мелітополь,"набережна Тополина, буд. 662, Козятин, 36737",046 797 50 81,shynkarenkoielysei@example.org
Ярош,Пріска,Петрівна,Жіноча,08.09.1997,Ді-джей,селище Родинське,"узвіз Чернівецький, буд. 76, Ровеньки, 10654",011 381 88 15,diakymchuk@example.org
Аверченко,Ліза,Михайлівна,Жіноча,16.09.1987,Диригент,хутір Чернігів,"набережна Мінська, буд. 6 кв. 98, Прилуки, 52863",+380 25 438 99 66,lvelychko@example.com
Ванченко,Аліна,Андріївна,Жіноча,25.07.1955,Реабілітолог,село Тисмениця,"проспект Ольгіївський узвіз, буд. 751, Васильків, 21255",+380 54 309 21 47,whavrylyshyn@example.net
Рудько,Богуслава,Сергіївна,Жіноча,03.03.1945,Скульптор,місто Пирятин,"набережна Кузнечна, буд. 4 кв. 8, Бердичів, 64602",085 383-03-17,klavdiia51@example.com
Ющенко,Ярослава,Сергіївна,Жіноча,01.09.1943,Електротехнік,село Зимогір'я,"провулок Косвена, буд. 9 кв. 47, Заводське, 15173",+380 87 515-39-50,priskababii@example.net
Єрьоменко,Марта,Федорівна,Жіноча,18.01.1999,Круп'є,селище Благовіщенське,"парк Йосипа Тимченка, буд. 2, Дрогобич, 52722",025 157-13-91,symonandroshchuk@example.net
Баклан,Надія,Іванівна,Жіноча,14.08.1938,Стоматолог,село Чортків,"узвіз Саксаганського, буд. 65, Голубівка, 88377",082 372 01 25,demydlupii@example.net
Бандура,Віра,Андріївна,Жіноча,29.05.1996,Модель,місто Лиман ,"площа Пересипська 4-та, буд. 1, Зугрес, 42190",506-60-33,olhaiushchenko@example.com
Фаренюк,Клавдія,Олександрівна,Жіноча,21.01.1963,Геофізик,місто Кам'янка-Бузька,"сквер Артезіанська, буд. 5 кв. 1, Новомосковськ, 93923",+380 51 914-23-35,ieromenkolevko@example.net
Вакуленко,Марʼяна,Петрівна,Жіноча,29.01.1996,Геофізик,село Свалява,"площа Водний, буд. 29, Гайсин, 96690",+380 34 317 50 70,zabashtaarsen@example.com
Рева,Ганна,Михайлівна,Жіноча,06.05.1988,Економіст,село Хмільник,"сквер 8-ма Лінія Дачі Ковалевського, буд. 903 кв. 511, Шепетівка, 53140",092 348 21 44,bohodarusyk@example.com
Христич,Михайлина,Федорівна,Жіноча,12.10.1960,Актор,село Обухів,"провулок Олександра Невського 1-й, буд. 86, Чернівці, 50362",+380 88 537-78-65,iosypiashchuk@example.com
Канівець,Пріска,Михайлівна,Жіноча,02.11.1941,Гірничий інженер,село Ізюм,"шосе Глазунова 2-й, буд. 324, Сокаль, 60909",031 288 51 81,valerii27@example.com
Івасюк,Єлисавета,Іванівна,Жіноча,25.10.1993,Єгер,селище Вовчанськ,"провулок Тираспольська, буд. 16 кв. 37, Липовець, 13365",+380 24 511 50 92,lytvynklyment@example.org
Валенко,Роксолана,Сергіївна,Жіноча,25.12.1957,Композитор,село Зміїв,"площа Пересипська 5-та, буд. 91, Пирятин, 72229",+380 35 914-38-02,mhavryshkevych@example.org
Зінченко,Анастасія,Федорівна,Жіноча,10.04.1972,Редактор,село Чоп,"набережна Сінна, буд. 76 кв. 65, Чортків, 03988",+380 55 099 19 97,xkaras@example.com
Бабійчук,Людмила,Михайлівна,Жіноча,01.05.1968,Мінералог,місто Вінниця,"шосе Кострова, буд. 03, Буськ, 28304",+380 90 665 88 81,allashcherbak@example.org
Вахній,Едита,Петрівна,Жіноча,01.02.1956,Стоматолог,місто Ніжин,"вулиця Наявний 7-й, буд. 1 кв. 64, Красноперекопськ, 99678",+380 66 240-48-84,brubets@example.com
Франчук,Клавдія,Михайлівна,Жіноча,08.12.1972,Диригент,селище Почаїв,"парк Проточний, буд. 2 кв. 316, Золотоноша, 39260",+380 32 650 69 77,hordiiriabets@example.com
Пилипенко,Лілія,Дмитрівна,Жіноча,31.05.1995,Каскадер,хутір Феодосія,"сквер 15-та Суворовська, буд. 596, Дергачі, 02315",+380 49 884-35-60,babychenkosemen@example.org
Демʼянюк,Ольга,Іванівна,Жіноча,19.06.1995,Патологоанатом,місто Перещепине,"провулок Нежданової, буд. 08 кв. 09, Вижниця, 95202",099 833-90-71,wpelekh@example.com
Башполченко,Софія,Вікторівна,Жіноча,04.06.1985,Ді-джей,місто Карлівка,"площа Хаджибейський 1-й, буд. 8, Хотин, 19561",647-97-33,vcherinko@example.com
Авраменко,Мілена,Вікторівна,Жіноча,12.06.1981,Мікробіолог,село Луганськ,"парк Лузанівський, буд. 50 кв. 20, Ржищів, 62723",+380 53 651-39-35,zcherednyk@example.net
Сич,Варвара,Сергіївна,Жіноча,10.03.1966,Кінолог,хутір Петрово-Красносілля,"проспект Курортний 6-й, буд. 144, Хрестівка, 95769",008 157 96 45,demianenkosymon@example.org
Забарний,Аніта,Сергіївна,Жіноча,06.10.1948,Піаніст,хутір Комарно,"набережна Лізи Чайкіної, буд. 13, Яремче, 07544",068 293 22 56,bazavluchenkodan@example.net
Щербак,Світлана,Іванівна,Жіноча,12.11.1955,Музичний редактор,селище Ірпінь,"проспект Василя Кандинського 4-й, буд. 652 кв. 827, Трускавець, 34820",+380 47 648-83-93,kybkalorozaliia@example.net
Теличенко,Златослава,Іванівна,Жіноча,20.08.1980,Намотувальник,село Кривий Ріг,"вулиця 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 745 кв. 705, Вугледар, 85869",594 67 22,siemets@example.org
Приймак,Алла,Володимирівна,Жіноча,04.10.1976,Адвокат,село Молодогвардійськ,"площа Кондренка, буд. 2 кв. 83, Нова Одеса, 30957",042 164-15-79,vertyporokhlevko@example.org
Дубенко,Оксана,Вікторівна,Жіноча,26.07.1985,Правник,хутір Шумськ,"набережна 8-ма Лінія Дачі Ковалевського, буд. 576 кв. 7, Винники, 98926",+380 67 771 94 45,ielyseichornovil@example.com
Дейсун,Тетяна,Вікторівна,Жіноча,22.06.1977,Історик,селище Красноград,"шосе Серединський, буд. 1 кв. 67, Підгайці, 01467",071 376 91 33,borys13@example.net
